City,total_deals,total_amount
Friedenweiler,1,11000.0
Friedrichsdorf,2,22000.0
Friedrichshafen,4,30500.0
Friesoythe,3,11500.0
Fritzlar,1,5000.0
Fröndenberg,1,4000.0
Fulda,3,12000.0
Fürstenfeldbruck,2,22500.0
Fürth,6,42500.0
Gaildorf,1,11000.0
Ganderkesee,1,11000.0
Garbsen,2,15000.0
Garmisch-Partenkirchen,1,11000.0
Garrel,1,2000.0
Gdańsk,1,2000.0
Gdynia,1,3500.0
Geilenkirchen,1,9000.0
Geldern,1,11000.0
Gelnhausen,1,11000.0
Gelsenkirchen,3,27000.0
Gera,5,46000.0
Gerlingen,1,11000.0
Germering,2,22000.0
Germersheim,1,5000.0
Gerolstein,1,2000.0
Geyer,1,5000.0
Gießen,5,46000.0
Gladenbach,3,27000.0
Glandorf,1,11000.0
Glendale,1,2500.0
Gommern,1,11000.0
Grafenau,1,2500.0
Grafenhausen,1,11000.0
Greven,1,11500.0
Grevenbroich,1,4000.0
Grevesmühlen,1,11000.0
Griepswohld,1,11000.0
Großbreitenbach,1,11000.0
Großrosseln,1,5000.0
Gröbenzell,1,11000.0
Gröditz,1,11000.0
Gummersbach,1,0.0
Göppingen,1,11000.0
Görlitz,3,33000.0
Göttingen,2,16000.0
Güglingen,1,5000.0
Günzburg,1,4000.0
Güstrow,1,5000.0
Gütersloh,2,14500.0
Hachenburg,1,11000.0
Hagen,6,55000.0
Hagenow,2,22000.0
Haimhausen,1,5000.0
Haldensleben,3,33500.0
Hallbergmoos,1,4000.0
Halle,7,54500.0
Halle (Saale),1,11000.0
Hamburg,60,502900.0
Hameln,1,11000.0
Hamm,2,14500.0
Hannover,19,174000.0
Harsewinkel,1,11000.0
Hartmannsdorf,1,11000.0
Hasbergen,1,2500.0
Haselünne,1,4000.0
Hattgenstein,1,5000.0
Hechingen,1,11000.0
Heide,1,11000.0
Heidelberg,3,27000.0
Heidenheim,3,34000.0
Heilbronn,5,41000.0
Heiligenhaus,1,11000.0
Heimbach,1,4000.0
Heimbuchenthal,1,2500.0
Heinersreuth,1,1000.0
Heinsberg,2,13000.0
Helmstedt,2,15500.0
Helmstidde,2,16000.0
Hennef,2,22000.0
Hennigsdorf,1,3500.0
Henstedt-Ulzburg,1,11000.0
Heppenheim,1,11000.0
Herbrechtingen,1,2500.0
Herdecke,1,11000.0
Herford,3,33000.0
Herne,4,30000.0
Herrsching am Ammersee,1,5000.0
Herzberg,2,22000.0
Herzogenaurach,1,2000.0
Herzogenrath,1,11000.0
Hettenshausen,1,11000.0
Heusweiler,1,11000.0
Hilchenbach,1,2500.0
Hildesheim,5,40000.0
Hockenheim,1,11000.0
Hof,1,11000.0
Hofheim am Taunus,1,11000.0
Hofkirchen,1,2500.0
Hohenberg an der Eger,1,4000.0
Hohenstein,1,4500.0
Holzminden,2,22000.0
Holzwickede,1,4000.0
Homburg,2,22000.0
Hopfen am See,1,4000.0
Hoyerswerda,1,11000.0
Höhenkirchen-Siegertsbrunn,1,11000.0
Hörstel,2,10000.0
Hösbach,1,11000.0
Hückelhoven,2,13000.0
Hückeswagen,1,11000.0
Hüttisheim,1,11000.0
Igalo,1,4000.0
Illingen,2,22000.0
Ilmenau,1,11000.0
Imsbach,1,11000.0
